,edge,gene1,gene2,q_value,scg
662,15-33,15,33,0.0,False
663,15-34,15,34,0.0,False
664,15-35,15,35,0.0,False
665,15-36,15,36,0.0,False
666,15-37,15,37,0.0,False
667,15-38,15,38,0.0,False
668,15-39,15,39,0.402,True
669,15-40,15,40,0.0040000000000000036,False
670,15-41,15,41,0.0,False
671,15-42,15,42,0.0,False
672,15-43,15,43,0.0,False
673,15-44,15,44,0.0,False
674,15-45,15,45,0.0,False
675,15-46,15,46,0.0,False
676,15-47,15,47,0.0,False
677,15-48,15,48,0.0,False
678,15-49,15,49,0.968,True
679,15-50,15,50,0.0,False
680,16-17,16,17,0.762,True
681,16-18,16,18,0.986,True
682,16-19,16,19,0.0,False
683,16-20,16,20,0.014000000000000012,False
684,16-21,16,21,0.0,False
685,16-22,16,22,0.0,False
686,16-23,16,23,0.0,False
687,16-24,16,24,0.0,False
688,16-25,16,25,0.0,False
689,16-26,16,26,0.0,False
690,16-27,16,27,0.0,False
691,16-28,16,28,0.0,False
692,16-29,16,29,0.0,False
693,16-30,16,30,0.38,True
694,16-31,16,31,0.0,False
695,16-32,16,32,0.0,False
696,16-33,16,33,0.0,False
697,16-34,16,34,0.0,False
698,16-35,16,35,0.0,False
699,16-36,16,36,0.0,False
700,16-37,16,37,0.0,False
701,16-38,16,38,0.0,False
702,16-39,16,39,0.994,True
703,16-40,16,40,0.248,False
704,16-41,16,41,0.0,False
705,16-42,16,42,0.0,False
706,16-43,16,43,0.0,False
707,16-44,16,44,0.15200000000000002,False
708,16-45,16,45,0.0,False
709,16-46,16,46,0.0,False
710,16-47,16,47,0.0,False
711,16-48,16,48,0.0,False
712,16-49,16,49,0.84,True
713,16-50,16,50,0.0,False
714,17-18,17,18,1.0,True
715,17-19,17,19,0.0,False
716,17-20,17,20,1.0,True
717,17-21,17,21,0.01200000000000001,False
718,17-22,17,22,1.0,True
719,17-23,17,23,0.962,True
720,17-24,17,24,0.39,True
721,17-25,17,25,1.0,True
722,17-26,17,26,0.886,True
723,17-27,17,27,0.876,True
724,17-28,17,28,0.0,False
725,17-29,17,29,0.0,False
726,17-30,17,30,1.0,True
727,17-31,17,31,0.0,False
728,17-32,17,32,0.0,False
729,17-33,17,33,1.0,True
730,17-34,17,34,1.0,True
731,17-35,17,35,1.0,True
732,17-36,17,36,0.0,False
733,17-37,17,37,0.0,False
734,17-38,17,38,0.008000000000000007,False
735,17-39,17,39,1.0,True
736,17-40,17,40,1.0,True
737,17-41,17,41,1.0,True
738,17-42,17,42,0.0,False
739,17-43,17,43,0.0,False
740,17-44,17,44,0.978,True
741,17-45,17,45,0.0,False
742,17-46,17,46,0.0,False
743,17-47,17,47,0.006000000000000005,False
744,17-48,17,48,0.0,False
745,17-49,17,49,1.0,True
746,17-50,17,50,0.17400000000000004,False
747,18-19,18,19,0.0020000000000000018,False
748,18-20,18,20,1.0,True
749,18-21,18,21,0.15400000000000003,False
750,18-22,18,22,1.0,True
751,18-23,18,23,1.0,True
752,18-24,18,24,0.81,True
753,18-25,18,25,1.0,True
754,18-26,18,26,0.996,True
755,18-27,18,27,0.992,True
756,18-28,18,28,0.0020000000000000018,False
757,18-29,18,29,0.0,False
758,18-30,18,30,1.0,True
759,18-31,18,31,0.0,False
760,18-32,18,32,0.0020000000000000018,False
761,18-33,18,33,1.0,True
762,18-34,18,34,1.0,True
763,18-35,18,35,1.0,True
764,18-36,18,36,0.0020000000000000018,False
765,18-37,18,37,0.0020000000000000018,False
766,18-38,18,38,0.12,False
767,18-39,18,39,1.0,True
768,18-40,18,40,1.0,True
769,18-41,18,41,1.0,True
770,18-42,18,42,0.0,False
771,18-43,18,43,0.02400000000000002,False
772,18-44,18,44,1.0,True
773,18-45,18,45,0.0,False
774,18-46,18,46,0.008000000000000007,False
775,18-47,18,47,0.09799999999999998,False
776,18-48,18,48,0.0,False
777,18-49,18,49,1.0,True
778,18-50,18,50,0.628,True
779,19-20,19,20,0.0,False
780,19-21,19,21,0.0,False
781,19-22,19,22,0.0,False
782,19-23,19,23,0.0,False
783,19-24,19,24,0.0,False
784,19-25,19,25,0.0,False
785,19-26,19,26,0.0,False
786,19-27,19,27,0.0,False
787,19-28,19,28,0.0,False
788,19-29,19,29,0.0,False
789,19-30,19,30,0.0,False
790,19-31,19,31,0.0,False
791,19-32,19,32,0.0,False
792,19-33,19,33,0.0,False
793,19-34,19,34,0.0,False
794,19-35,19,35,0.0,False
795,19-36,19,36,0.0,False
796,19-37,19,37,0.0,False
797,19-38,19,38,0.0,False
798,19-39,19,39,0.0,False
799,19-40,19,40,0.0,False
800,19-41,19,41,0.0,False
801,19-42,19,42,0.0,False
802,19-43,19,43,0.0,False
803,19-44,19,44,0.0,False
804,19-45,19,45,0.0,False
805,19-46,19,46,0.0,False
806,19-47,19,47,0.0,False
807,19-48,19,48,0.0,False
808,19-49,19,49,0.0,False
809,19-50,19,50,0.0,False
810,20-21,20,21,0.0,False
811,20-22,20,22,0.006000000000000005,False
812,20-23,20,23,0.0,False
813,20-24,20,24,0.0,False
814,20-25,20,25,0.01200000000000001,False
815,20-26,20,26,0.0,False
816,20-27,20,27,0.0,False
817,20-28,20,28,0.0,False
818,20-29,20,29,0.0,False
819,20-30,20,30,0.98,True
820,20-31,20,31,0.0,False
821,20-32,20,32,0.0,False
822,20-33,20,33,0.09399999999999997,False
823,20-34,20,34,0.010000000000000009,False
824,20-35,20,35,0.0,False
825,20-36,20,36,0.0,False
826,20-37,20,37,0.0,False
827,20-38,20,38,0.0,False
828,20-39,20,39,1.0,True
829,20-40,20,40,0.982,True
830,20-41,20,41,0.0,False
831,20-42,20,42,0.0,False
832,20-43,20,43,0.0,False
833,20-44,20,44,0.906,True
834,20-45,20,45,0.0,False
835,20-46,20,46,0.0,False
836,20-47,20,47,0.0,False
837,20-48,20,48,0.0,False
838,20-49,20,49,1.0,True
839,20-50,20,50,0.0,False
840,21-22,21,22,0.0,False
841,21-23,21,23,0.0,False
842,21-24,21,24,0.0,False
843,21-25,21,25,0.0,False
844,21-26,21,26,0.0,False
845,21-27,21,27,0.0,False
846,21-28,21,28,0.0,False
847,21-29,21,29,0.0,False
848,21-30,21,30,0.0,False
849,21-31,21,31,0.0,False
850,21-32,21,32,0.0,False
851,21-33,21,33,0.0,False
852,21-34,21,34,0.0,False
853,21-35,21,35,0.0,False
854,21-36,21,36,0.0,False
855,21-37,21,37,0.0,False
856,21-38,21,38,0.0,False
857,21-39,21,39,0.0,False
858,21-40,21,40,0.0,False
859,21-41,21,41,0.0,False
860,21-42,21,42,0.0,False
861,21-43,21,43,0.0,False
862,21-44,21,44,0.0,False
863,21-45,21,45,0.0,False
864,21-46,21,46,0.0,False
865,21-47,21,47,0.0,False
866,21-48,21,48,0.0,False
867,21-49,21,49,0.01200000000000001,False
868,21-50,21,50,0.0,False
869,22-23,22,23,0.0,False
870,22-24,22,24,0.0,False
871,22-25,22,25,0.01200000000000001,False
872,22-26,22,26,0.0,False
873,22-27,22,27,0.0,False
874,22-28,22,28,0.0,False
875,22-29,22,29,0.0,False
876,22-30,22,30,0.0,False
877,22-31,22,31,0.0,False
878,22-32,22,32,0.0,False
879,22-33,22,33,0.33399999999999996,True
880,22-34,22,34,0.016000000000000014,False
881,22-35,22,35,0.0,False
882,22-36,22,36,0.0,False
883,22-37,22,37,0.0,False
884,22-38,22,38,0.0,False
885,22-39,22,39,0.974,True
886,22-40,22,40,0.652,True
887,22-41,22,41,0.006000000000000005,False
888,22-42,22,42,0.0,False
889,22-43,22,43,0.0,False
890,22-44,22,44,0.0,False
891,22-45,22,45,0.0,False
892,22-46,22,46,0.0,False
893,22-47,22,47,0.0,False
894,22-48,22,48,0.0,False
895,22-49,22,49,1.0,True
896,22-50,22,50,0.0,False
897,23-24,23,24,0.0,False
898,23-25,23,25,0.0,False
899,23-26,23,26,0.0,False
900,23-27,23,27,0.0,False
901,23-28,23,28,0.0,False
902,23-29,23,29,0.0,False
903,23-30,23,30,0.0020000000000000018,False
904,23-31,23,31,0.0,False
905,23-32,23,32,0.0,False
906,23-33,23,33,0.0,False
907,23-34,23,34,0.0,False
908,23-35,23,35,0.0,False
909,23-36,23,36,0.0,False
910,23-37,23,37,0.0,False
911,23-38,23,38,0.0,False
912,23-39,23,39,0.7,True
913,23-40,23,40,0.04600000000000004,False
914,23-41,23,41,0.0,False
915,23-42,23,42,0.0,False
916,23-43,23,43,0.0,False
917,23-44,23,44,0.0,False
918,23-45,23,45,0.0,False
919,23-46,23,46,0.0,False
920,23-47,23,47,0.0,False
921,23-48,23,48,0.0,False
922,23-49,23,49,0.962,True
923,23-50,23,50,0.0,False
924,24-25,24,25,0.0,False
925,24-26,24,26,0.0,False
926,24-27,24,27,0.0,False
927,24-28,24,28,0.0,False
928,24-29,24,29,0.0,False
929,24-30,24,30,0.0,False
930,24-31,24,31,0.0,False
931,24-32,24,32,0.0,False
932,24-33,24,33,0.0,False
933,24-34,24,34,0.0,False
934,24-35,24,35,0.0,False
935,24-36,24,36,0.0,False
936,24-37,24,37,0.0,False
937,24-38,24,38,0.0,False
938,24-39,24,39,0.0020000000000000018,False
939,24-40,24,40,0.0,False
940,24-41,24,41,0.0,False
941,24-42,24,42,0.0,False
942,24-43,24,43,0.0,False
943,24-44,24,44,0.0,False
944,24-45,24,45,0.0,False
945,24-46,24,46,0.0,False
946,24-47,24,47,0.0,False
947,24-48,24,48,0.0,False
948,24-49,24,49,0.382,True
949,24-50,24,50,0.0,False
950,25-26,25,26,0.0,False
951,25-27,25,27,0.0,False
952,25-28,25,28,0.0,False
953,25-29,25,29,0.0,False
954,25-30,25,30,0.07399999999999995,False
955,25-31,25,31,0.0,False
956,25-32,25,32,0.0,False
957,25-33,25,33,0.15400000000000003,False
958,25-34,25,34,0.0040000000000000036,False
959,25-35,25,35,0.0,False
960,25-36,25,36,0.0,False
961,25-37,25,37,0.0,False
962,25-38,25,38,0.0,False
963,25-39,25,39,0.992,True
964,25-40,25,40,0.6619999999999999,True
965,25-41,25,41,0.0,False
966,25-42,25,42,0.0,False
967,25-43,25,43,0.0,False
968,25-44,25,44,0.0040000000000000036,False
969,25-45,25,45,0.0,False
970,25-46,25,46,0.0,False
971,25-47,25,47,0.0,False
972,25-48,25,48,0.0,False
973,25-49,25,49,1.0,True
974,25-50,25,50,0.0,False
975,26-27,26,27,0.0,False
976,26-28,26,28,0.0,False
977,26-29,26,29,0.0,False
978,26-30,26,30,0.0,False
979,26-31,26,31,0.0,False
980,26-32,26,32,0.0,False
981,26-33,26,33,0.0,False
982,26-34,26,34,0.0,False
983,26-35,26,35,0.0,False
984,26-36,26,36,0.0,False
985,26-37,26,37,0.0,False
986,26-38,26,38,0.0,False
987,26-39,26,39,0.028000000000000025,False
988,26-40,26,40,0.0,False
989,26-41,26,41,0.0,False
990,26-42,26,42,0.0,False
991,26-43,26,43,0.0,False
992,26-44,26,44,0.0,False
993,26-45,26,45,0.0,False
994,26-46,26,46,0.0,False
995,26-47,26,47,0.0,False
996,26-48,26,48,0.0,False
997,26-49,26,49,0.9,True
998,26-50,26,50,0.0,False
999,27-28,27,28,0.0,False
1000,27-29,27,29,0.0,False
1001,27-30,27,30,0.0,False
1002,27-31,27,31,0.0,False
1003,27-32,27,32,0.0,False
1004,27-33,27,33,0.0,False
1005,27-34,27,34,0.0,False
1006,27-35,27,35,0.0,False
1007,27-36,27,36,0.0,False
1008,27-37,27,37,0.0,False
1009,27-38,27,38,0.0,False
1010,27-39,27,39,0.14600000000000002,False
1011,27-40,27,40,0.0040000000000000036,False
1012,27-41,27,41,0.0,False
1013,27-42,27,42,0.0,False
1014,27-43,27,43,0.0,False
1015,27-44,27,44,0.0,False
1016,27-45,27,45,0.0,False
1017,27-46,27,46,0.0,False
1018,27-47,27,47,0.0,False
1019,27-48,27,48,0.0,False
1020,27-49,27,49,0.88,True
1021,27-50,27,50,0.0,False
1022,28-29,28,29,0.0,False
1023,28-30,28,30,0.0,False
1024,28-31,28,31,0.0,False
1025,28-32,28,32,0.0,False
1026,28-33,28,33,0.0,False
1027,28-34,28,34,0.0,False
1028,28-35,28,35,0.0,False
1029,28-36,28,36,0.0,False
1030,28-37,28,37,0.0,False
1031,28-38,28,38,0.0,False
1032,28-39,28,39,0.0,False
1033,28-40,28,40,0.0,False
1034,28-41,28,41,0.0,False
1035,28-42,28,42,0.0,False
1036,28-43,28,43,0.0,False
1037,28-44,28,44,0.0,False
1038,28-45,28,45,0.0,False
1039,28-46,28,46,0.0,False
1040,28-47,28,47,0.0,False
1041,28-48,28,48,0.0,False
1042,28-49,28,49,0.0,False
1043,28-50,28,50,0.0,False
1044,29-30,29,30,0.0,False
1045,29-31,29,31,0.0,False
1046,29-32,29,32,0.0,False
1047,29-33,29,33,0.0,False
1048,29-34,29,34,0.0,False
1049,29-35,29,35,0.0,False
1050,29-36,29,36,0.0,False
1051,29-37,29,37,0.0,False
1052,29-38,29,38,0.0,False
1053,29-39,29,39,0.0,False
1054,29-40,29,40,0.0,False
1055,29-41,29,41,0.0,False
1056,29-42,29,42,0.0,False
1057,29-43,29,43,0.0,False
1058,29-44,29,44,0.0,False
1059,29-45,29,45,0.0,False
1060,29-46,29,46,0.0,False
1061,29-47,29,47,0.0,False
1062,29-48,29,48,0.0,False
1063,29-49,29,49,0.0,False
1064,29-50,29,50,0.0,False
1065,30-31,30,31,0.0,False
1066,30-32,30,32,0.0,False
1067,30-33,30,33,0.07799999999999996,False
1068,30-34,30,34,0.028000000000000025,False
1069,30-35,30,35,0.01200000000000001,False
1070,30-36,30,36,0.0,False
1071,30-37,30,37,0.0,False
1072,30-38,30,38,0.0,False
1073,30-39,30,39,1.0,True
1074,30-40,30,40,1.0,True
1075,30-41,30,41,0.0020000000000000018,False
1076,30-42,30,42,0.0,False
1077,30-43,30,43,0.0,False
1078,30-44,30,44,1.0,True
1079,30-45,30,45,0.0,False
1080,30-46,30,46,0.0,False
1081,30-47,30,47,0.0,False
1082,30-48,30,48,0.0,False
1083,30-49,30,49,1.0,True
1084,30-50,30,50,0.0,False
1085,31-32,31,32,0.0,False
1086,31-33,31,33,0.0,False
1087,31-34,31,34,0.0,False
1088,31-35,31,35,0.0,False
1089,31-36,31,36,0.0,False
1090,31-37,31,37,0.0,False
1091,31-38,31,38,0.0,False
1092,31-39,31,39,0.0020000000000000018,False
1093,31-40,31,40,0.0,False
1094,31-41,31,41,0.0,False
1095,31-42,31,42,0.0,False
1096,31-43,31,43,0.0,False
1097,31-44,31,44,0.0,False
1098,31-45,31,45,0.0,False
1099,31-46,31,46,0.0,False
1100,31-47,31,47,0.0,False
1101,31-48,31,48,0.0,False
1102,31-49,31,49,0.0,False
1103,31-50,31,50,0.0,False
1104,32-33,32,33,0.0,False
1105,32-34,32,34,0.0,False
1106,32-35,32,35,0.0,False
1107,32-36,32,36,0.0,False
1108,32-37,32,37,0.0,False
1109,32-38,32,38,0.0,False
1110,32-39,32,39,0.0,False
1111,32-40,32,40,0.0,False
1112,32-41,32,41,0.0,False
1113,32-42,32,42,0.0,False
1114,32-43,32,43,0.0,False
1115,32-44,32,44,0.0,False
1116,32-45,32,45,0.0,False
1117,32-46,32,46,0.0,False
1118,32-47,32,47,0.0,False
1119,32-48,32,48,0.0,False
1120,32-49,32,49,0.0,False
1121,32-50,32,50,0.0,False
1122,33-34,33,34,0.10399999999999998,False
1123,33-35,33,35,0.01200000000000001,False
1124,33-36,33,36,0.0,False
1125,33-37,33,37,0.0,False
1126,33-38,33,38,0.0,False
1127,33-39,33,39,1.0,True
1128,33-40,33,40,0.964,True
1129,33-41,33,41,0.07599999999999996,False
1130,33-42,33,42,0.0,False
1131,33-43,33,43,0.0,False
1132,33-44,33,44,0.0,False
1133,33-45,33,45,0.0,False
1134,33-46,33,46,0.0,False
1135,33-47,33,47,0.0,False
1136,33-48,33,48,0.0,False
1137,33-49,33,49,1.0,True
1138,33-50,33,50,0.0,False
1139,34-35,34,35,0.0,False
1140,34-36,34,36,0.0,False
1141,34-37,34,37,0.0,False
1142,34-38,34,38,0.0,False
1143,34-39,34,39,0.978,True
1144,34-40,34,40,0.5680000000000001,True
1145,34-41,34,41,0.0,False
1146,34-42,34,42,0.0,False
1147,34-43,34,43,0.0,False
1148,34-44,34,44,0.0020000000000000018,False
1149,34-45,34,45,0.0,False
1150,34-46,34,46,0.0,False
1151,34-47,34,47,0.0,False
1152,34-48,34,48,0.0,False
1153,34-49,34,49,1.0,True
1154,34-50,34,50,0.0,False
1155,35-36,35,36,0.0,False
1156,35-37,35,37,0.0,False
1157,35-38,35,38,0.0,False
1158,35-39,35,39,0.912,True
1159,35-40,35,40,0.24,False
1160,35-41,35,41,0.0,False
1161,35-42,35,42,0.0,False
1162,35-43,35,43,0.0,False
1163,35-44,35,44,0.0020000000000000018,False
1164,35-45,35,45,0.0,False
1165,35-46,35,46,0.0,False
1166,35-47,35,47,0.0,False
1167,35-48,35,48,0.0,False
1168,35-49,35,49,1.0,True
1169,35-50,35,50,0.0,False
1170,36-37,36,37,0.0,False
1171,36-38,36,38,0.0,False
1172,36-39,36,39,0.05600000000000005,False
1173,36-40,36,40,0.0,False
1174,36-41,36,41,0.0,False
1175,36-42,36,42,0.0,False
1176,36-43,36,43,0.0,False
1177,36-44,36,44,0.0,False
1178,36-45,36,45,0.0,False
1179,36-46,36,46,0.0,False
1180,36-47,36,47,0.0,False
1181,36-48,36,48,0.0,False
1182,36-49,36,49,0.0,False
1183,36-50,36,50,0.0,False
1184,37-38,37,38,0.0,False
1185,37-39,37,39,0.0,False
1186,37-40,37,40,0.0,False
1187,37-41,37,41,0.0,False
1188,37-42,37,42,0.0,False
1189,37-43,37,43,0.0,False
1190,37-44,37,44,0.0,False
1191,37-45,37,45,0.0,False
1192,37-46,37,46,0.0,False
1193,37-47,37,47,0.0,False
1194,37-48,37,48,0.0,False
1195,37-49,37,49,0.0,False
1196,37-50,37,50,0.0,False
1197,38-39,38,39,0.0,False
1198,38-40,38,40,0.0,False
1199,38-41,38,41,0.0,False
1200,38-42,38,42,0.0,False
1201,38-43,38,43,0.0,False
1202,38-44,38,44,0.0,False
1203,38-45,38,45,0.0,False
1204,38-46,38,46,0.0,False
1205,38-47,38,47,0.0,False
1206,38-48,38,48,0.0,False
1207,38-49,38,49,0.008000000000000007,False
1208,38-50,38,50,0.0,False
1209,39-40,39,40,1.0,True
1210,39-41,39,41,0.698,True
1211,39-42,39,42,0.0,False
1212,39-43,39,43,0.0,False
1213,39-44,39,44,1.0,True
1214,39-45,39,45,0.0020000000000000018,False
1215,39-46,39,46,0.0,False
1216,39-47,39,47,0.0,False
1217,39-48,39,48,0.0,False
1218,39-49,39,49,1.0,True
1219,39-50,39,50,0.008000000000000007,False
1220,40-41,40,41,0.20999999999999996,False
1221,40-42,40,42,0.0,False
1222,40-43,40,43,0.0,False
1223,40-44,40,44,1.0,True
1224,40-45,40,45,0.0,False
1225,40-46,40,46,0.0,False
1226,40-47,40,47,0.0,False
1227,40-48,40,48,0.0,False
1228,40-49,40,49,1.0,True
1229,40-50,40,50,0.0,False
1230,41-42,41,42,0.0,False
1231,41-43,41,43,0.0,False
1232,41-44,41,44,0.0,False
1233,41-45,41,45,0.0,False
1234,41-46,41,46,0.0,False
1235,41-47,41,47,0.0,False
1236,41-48,41,48,0.0,False
1237,41-49,41,49,1.0,True
1238,41-50,41,50,0.0,False
1239,42-43,42,43,0.0,False
1240,42-44,42,44,0.0,False
1241,42-45,42,45,0.0,False
1242,42-46,42,46,0.0,False
1243,42-47,42,47,0.0,False
1244,42-48,42,48,0.0,False
1245,42-49,42,49,0.0,False
1246,42-50,42,50,0.0,False
1247,43-44,43,44,0.0,False
1248,43-45,43,45,0.0,False
1249,43-46,43,46,0.0,False
1250,43-47,43,47,0.0,False
1251,43-48,43,48,0.0,False
1252,43-49,43,49,0.0,False
1253,43-50,43,50,0.0,False
1254,44-45,44,45,0.0,False
1255,44-46,44,46,0.0,False
1256,44-47,44,47,0.0,False
1257,44-48,44,48,0.0,False
1258,44-49,44,49,0.994,True
1259,44-50,44,50,0.0,False
1260,45-46,45,46,0.0,False
1261,45-47,45,47,0.0,False
1262,45-48,45,48,0.0,False
1263,45-49,45,49,0.0,False
1264,45-50,45,50,0.0,False
1265,46-47,46,47,0.0,False
1266,46-48,46,48,0.0,False
1267,46-49,46,49,0.0,False
1268,46-50,46,50,0.0,False
1269,47-48,47,48,0.0,False
1270,47-49,47,49,0.006000000000000005,False
1271,47-50,47,50,0.0,False
1272,48-49,48,49,0.0,False
1273,48-50,48,50,0.0,False
1274,49-50,49,50,0.16800000000000004,False
